Date,MealPeriod,RevenueCenterName,Revenue_forecast
2024-05-01,BreakFast,RevenueCenter_1,860.46564
2024-05-02,BreakFast,RevenueCenter_1,880.7303
2024-05-03,BreakFast,RevenueCenter_1,930.2618
2024-05-04,BreakFast,RevenueCenter_1,932.8743
2024-05-05,BreakFast,RevenueCenter_1,763.7922
2024-05-06,BreakFast,RevenueCenter_1,713.6272
2024-05-07,BreakFast,RevenueCenter_1,659.83044
2024-05-08,BreakFast,RevenueCenter_1,653.9562
2024-05-09,BreakFast,RevenueCenter_1,688.1197
2024-05-10,BreakFast,RevenueCenter_1,769.83624
2024-05-11,BreakFast,RevenueCenter_1,832.4142
2024-05-12,BreakFast,RevenueCenter_1,692.7414
2024-05-13,BreakFast,RevenueCenter_1,660.4807
2024-05-14,BreakFast,RevenueCenter_1,637.81226
2024-05-15,BreakFast,RevenueCenter_1,645.2166
2024-05-16,BreakFast,RevenueCenter_1,681.0053
2024-05-17,BreakFast,RevenueCenter_1,765.57983
2024-05-18,BreakFast,RevenueCenter_1,834.2786
2024-05-19,BreakFast,RevenueCenter_1,693.9249
2024-05-20,BreakFast,RevenueCenter_1,660.69006
2024-05-21,BreakFast,RevenueCenter_1,639.1177
2024-05-22,BreakFast,RevenueCenter_1,646.3412
2024-05-23,BreakFast,RevenueCenter_1,681.37134
2024-05-24,BreakFast,RevenueCenter_1,767.16705
2024-05-25,BreakFast,RevenueCenter_1,839.34674
2024-05-26,BreakFast,RevenueCenter_1,697.72296
2024-05-27,BreakFast,RevenueCenter_1,663.09906
2024-05-28,BreakFast,RevenueCenter_1,641.5857
2024-05-29,BreakFast,RevenueCenter_1,648.0795
2024-05-30,BreakFast,RevenueCenter_1,682.0293
2024-05-01,BreakFast,RevenueCenter_2,212.06827
2024-05-02,BreakFast,RevenueCenter_2,216.78525
2024-05-03,BreakFast,RevenueCenter_2,236.31233
2024-05-04,BreakFast,RevenueCenter_2,244.74681
2024-05-05,BreakFast,RevenueCenter_2,172.00766
2024-05-06,BreakFast,RevenueCenter_2,156.6748
2024-05-07,BreakFast,RevenueCenter_2,144.74228
2024-05-08,BreakFast,RevenueCenter_2,151.13707
2024-05-09,BreakFast,RevenueCenter_2,171.48624
2024-05-10,BreakFast,RevenueCenter_2,199.17648
2024-05-11,BreakFast,RevenueCenter_2,221.34482
2024-05-12,BreakFast,RevenueCenter_2,155.49129
2024-05-13,BreakFast,RevenueCenter_2,144.95078
2024-05-14,BreakFast,RevenueCenter_2,138.47855
2024-05-15,BreakFast,RevenueCenter_2,148.9912
2024-05-16,BreakFast,RevenueCenter_2,169.9332
2024-05-17,BreakFast,RevenueCenter_2,198.75476
